"","WasdeNumber","MarketYear","ReleaseDate","ForecastYear","ForecastMonth","Acres","Use","Yield","Date","P_current","P_diff"
"62",542,"2015/16",2015-06-10,2015,6,81.7,13760,166.8,"6/10/2015",357.25,-7.75
"63",543,"2015/16",2015-07-10,2015,7,81.1,13735,166.8,"7/10/2015",427.25,6
"64",544,"2015/16",2015-08-12,2015,8,81.1,13775,168.8,"8/12/2015",357.25,-19.25
"65",545,"2015/16",2015-09-11,2015,9,81.1,13755,167.5,"9/11/2015",374.5,12.75
"66",546,"2015/16",2015-10-09,2015,10,80.7,13755,168,"10/9/2015",382.75,-8.5
"67",547,"2015/16",2015-11-10,2015,11,80.7,13655,169.3,"11/10/2015",359,-7.75
"68",548,"2015/16",2015-12-09,2015,12,80.7,13630,169.3,"12/9/2015",371.75,1.75
"69",549,"2015/16",2016-01-12,2016,1,80.7,13570,168.4,"1/12/2016",356.75,5
"70",550,"2015/16",2016-02-09,2016,2,80.7,13545,168.4,"2/9/2016",361,-1.25
"71",551,"2015/16",2016-03-09,2016,3,80.7,13545,168.4,"3/9/2016",359,0.25
"72",552,"2015/16",2016-04-12,2016,4,80.7,13521,168.4,"4/12/2016",362.75,6
"73",553,"2016/17",2016-05-10,2016,5,85.9,14120,168,"5/10/2016",378.5,10.75
"74",554,"2016/17",2016-06-10,2016,6,85.9,14170,168,"6/10/2016",423,-3.5
"75",555,"2016/17",2016-07-12,2016,7,86.6,14200,168,"7/12/2016",349.75,6
"76",556,"2016/17",2016-08-12,2016,8,86.6,14500,175.1,"8/12/2016",322.25,1.25
"77",557,"2016/17",2016-09-12,2016,9,86.6,14475,174.4,"9/12/2016",329.25,-0.75
"78",558,"2016/17",2016-10-12,2016,10,86.8,14525,173.4,"10/12/2016",337,-8.5
"79",559,"2016/17",2016-11-09,2016,11,86.8,14610,175.3,"11/9/2016",340.75,-13.5
"80",560,"2016/17",2016-12-09,2016,12,86.8,14610,175.3,"12/9/2016",352.5,6
"81",561,"2016/17",2017-01-12,2017,1,86.7,14585,174.6,"1/12/2017",358.25,1
"82",562,"2016/17",2017-02-09,2017,2,86.7,14620,174.6,"2/9/2017",369.5,-1.25
"83",563,"2016/17",2017-03-09,2017,3,86.7,14620,174.6,"3/9/2017",359.75,-5.5
"84",564,"2016/17",2017-04-11,2017,4,86.7,14620,174.6,"4/11/2017",366.5,-0.5
"85",565,"2017/18",2017-05-10,2017,5,82.4,14300,170.7,"5/10/2017",365.25,7
"86",566,"2017/18",2017-06-09,2017,6,82.4,14300,170.7,"6/9/2017",387.75,2
"87",567,"2017/18",2017-07-12,2017,7,83.5,14350,170.7,"7/12/2017",376.25,-16
"88",568,"2017/18",2017-08-10,2017,8,83.5,14300,169.5,"8/10/2017",357.25,-15
"89",569,"2017/18",2017-09-12,2017,9,83.5,14250,169.9,"9/12/2017",340,-5.5
"90",570,"2017/18",2017-10-12,2017,10,83.1,14285,171.8,"10/12/2017",349,3
"91",571,"2017/18",2017-11-09,2017,11,83.1,14435,175.4,"11/9/2017",341.5,-6.75
"92",572,"2017/18",2017-12-12,2017,12,83.1,14485,175.4,"12/12/2017",335.75,-0.75
"93",573,"2017/18",2018-01-12,2018,1,82.7,14470,176.6,"1/12/2018",346.25,-2.5
"94",574,"2017/18",2018-02-08,2018,2,82.7,14595,176.6,"2/8/2018",365.75,0.5
"95",575,"2017/18",2018-03-08,2018,3,82.7,14820,176.6,"3/8/2018",385.75,6.5
"96",576,"2017/18",2018-04-10,2018,4,82.7,14765,176.6,"4/10/2018",389.25,-1.5
"97",577,"2018/19",2018-05-10,2018,5,80.7,14590,174,"5/10/2018",394.75,0
"98",578,"2018/19",2018-06-12,2018,6,80.7,14615,174,"6/12/2018",377.5,10.25
"99",579,"2018/19",2018-07-12,2018,7,81.8,14755,174,"7/12/2018",336.5,5.25
"100",580,"2018/19",2018-08-10,2018,8,81.8,14980,178.4,"8/10/2018",357.75,-11.5
"101",581,"2018/19",2018-09-12,2018,9,81.8,15105,181.3,"9/12/2018",341.5,-13.75
"102",582,"2018/19",2018-10-11,2018,10,81.8,15155,180.7,"10/11/2018",369.25,6.5
"103",583,"2018/19",2018-11-08,2018,11,81.8,15080,178.9,"11/8/2018",373.5,1.25
"104",584,"2018/19",2018-12-11,2018,12,81.8,15030,178.9,"12/11/2018",375,0.75
"105",585,"2018/19",2019-02-08,2019,2,81.7,14865,176.4,"2/8/2019",374.25,-2.25
"106",586,"2018/19",2019-03-08,2019,3,81.7,14765,176.4,"3/8/2019",354.75,-1.25
"107",587,"2018/19",2019-04-09,2019,4,81.7,14565,176.4,"4/9/2019",360,0
"108",588,"2019/20",2019-05-10,2019,5,85.4,14675,176,"5/10/2019",342.5,-2
"109",589,"2019/20",2019-06-11,2019,6,82.4,14250,166,"6/11/2019",427.75,12
"110",590,"2019/20",2019-07-11,2019,7,83.6,14255,166,"7/11/2019",447.75,13.5
"111",591,"2019/20",2019-08-12,2019,8,82,14130,169.5,"8/12/2019",385.25,-25
"112",592,"2019/20",2019-09-12,2019,9,82,14105,168.2,"9/12/2019",354.5,6.25
"113",593,"2019/20",2019-10-10,2019,10,81.8,14015,168.4,"10/10/2019",380.25,-14
"114",594,"2019/20",2019-11-08,2019,11,81.8,13915,167,"11/8/2019",377.25,2
"115",595,"2019/20",2019-12-10,2019,12,81.8,13915,167,"12/10/2019",363.25,-2.5
"116",596,"2019/20",2020-01-10,2020,1,81.5,14070,168,"1/10/2020",385.75,2.5
"117",597,"2019/20",2020-02-11,2020,2,81.5,14070,168,"2/11/2020",379.75,-2
"118",598,"2019/20",2020-03-10,2020,3,81.5,14070,168,"3/10/2020",380,5.75
"119",599,"2019/20",2020-04-09,2020,4,81.5,13865,168,"4/9/2020",331.75,1.75
"120",600,"2020/21",2020-05-12,2020,5,89.6,14800,178.5,"5/12/2020",323.75,5.25
"121",601,"2020/21",2020-06-11,2020,6,89.6,14800,178.5,"6/11/2020",329.75,3.5
"122",602,"2020/21",2020-07-10,2020,7,84,14625,178.5,"7/10/2020",340.5,-10.75
"123",603,"2020/21",2020-08-12,2020,8,84,14775,181.8,"8/12/2020",314.5,3
"124",604,"2020/21",2020-09-11,2020,9,83.5,14675,178.5,"9/11/2020",365,7.75
"125",605,"2020/21",2020-10-09,2020,10,82.5,14575,178.4,"10/9/2020",395,8
"126",606,"2020/21",2020-11-10,2020,11,82.5,14825,175.8,"11/10/2020",423,15.5
"127",607,"2020/21",2020-12-10,2020,12,82.5,14825,175.8,"12/10/2020",420.25,-1.75
